group,ticker,mapped_cusip,report_date,shares_or_principal_consolidated,value_usd_thousands_consolidated,consolidation_method,selected_filer_cik,selected_accession,selected_filing_date,shares_outstanding
StateStreet,MSFT,594918104,2016-12-31,316129357,19644277,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-001039,2017-02-09,7775350501
StateStreet,MSFT,594918104,2017-03-31,318681830,20988383,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-005541,2017-05-15,7727529820
StateStreet,MSFT,594918104,2017-06-30,307965955,21228200,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-008647,2017-08-14,7720514731
StateStreet,MSFT,594918104,2017-09-30,300990278,22420765,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-011534,2017-11-14,7702243979
StateStreet,MSFT,594918104,2017-12-31,305514840,26133747,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-18-001640,2018-02-14,7714590195
StateStreet,MSFT,594918104,2018-03-31,290787951,26540223,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-18-006787,2018-05-15,7699792852
StateStreet,MSFT,594918104,2018-06-30,289618867,28559317,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-18-011092,2018-08-14,7683197503
StateStreet,MSFT,594918104,2018-09-30,306306499,35032270,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-18-014086,2018-11-09,7668217316
StateStreet,MSFT,594918104,2018-12-31,303610380,30837706,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-19-000024,2019-02-12,7676218736
StateStreet,MSFT,594918104,2019-03-31,313113425,36928597,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-19-000415,2019-05-15,7672213446
StateStreet,MSFT,594918104,2019-06-30,313098610,41942690,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-19-000529,2019-08-14,7662817920
StateStreet,MSFT,594918104,2019-09-30,313871742,43637588,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-19-000629,2019-11-14,7635409400
StateStreet,MSFT,594918104,2019-12-31,315672520,49781556,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-20-000012,2020-02-06,7628805618
StateStreet,MSFT,594918104,2020-03-31,314771248,49642574,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-20-000860,2020-06-19,7606047010
StateStreet,MSFT,594918104,2020-06-30,314554694,64015026,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-20-000921,2020-08-14,7583440247
StateStreet,MSFT,594918104,2020-09-30,309004107,64992834,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-20-000992,2020-11-10,7567652935
StateStreet,MSFT,594918104,2020-12-31,299126371,66531687,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-21-000441,2021-02-16,7560495969
StateStreet,MSFT,594918104,2021-03-31,292575655,68980562,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-21-000609,2021-07-09,7542215767
StateStreet,MSFT,594918104,2021-06-30,294824958,79868081,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-21-000640,2021-08-16,7531574551
StateStreet,MSFT,594918104,2021-09-30,294432926,83006530,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-21-000697,2021-11-15,7514891248
StateStreet,MSFT,594918104,2021-12-31,302541869,101750881,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-22-000401,2022-02-14,7507980444
StateStreet,MSFT,594918104,2022-03-31,300098242,92523289,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-22-000509,2022-05-16,7496866428
StateStreet,MSFT,594918104,2022-06-30,293557993,75394499,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-22-000593,2022-08-15,7479033135
StateStreet,MSFT,594918104,2022-09-30,295509547,68824173,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-22-000636,2022-11-15,7457891872
StateStreet,MSFT,594918104,2022-12-31,294574683,70644900477,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-23-000581,2023-05-15,7454473144
StateStreet,MSFT,594918104,2023-03-31,292106885,84214184961,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-23-000580,2023-05-15,7443803533
StateStreet,MSFT,594918104,2023-06-30,293614078,99987338122,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-23-000666,2023-08-14,7435487575
StateStreet,MSFT,594918104,2023-09-30,288457142,91080342587,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-23-000703,2023-11-14,7429763722
StateStreet,MSFT,594918104,2023-12-31,297627282,111919763123,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-24-000484,2024-02-14,7432262329
StateStreet,MSFT,594918104,2024-03-31,300354231,126365032066,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-24-000592,2024-05-15,7430436229
StateStreet,MSFT,594918104,2024-06-30,300030794,134098763378,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-24-000681,2024-08-14,7432305794
StateStreet,MSFT,594918104,2024-09-30,289501350,124572430905,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-24-000933,2024-11-14,7433038381
StateStreet,MSFT,594918104,2024-12-31,295109622,124394868904,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-25-000123,2025-02-14,7434880776
StateStreet,MSFT,594918104,2025-03-31,296030244,111126793295,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-25-000351,2025-05-15,7433982235
StateStreet,MSFT,594918104,2025-06-30,299196519,148823340516,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-25-000521,2025-08-14,7432543865
StateStreet,MSFT,594918104,2025-09-30,299761678,155261561120,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-25-000651,2025-11-14,7433166379
