group,ticker,mapped_cusip,report_date,shares_or_principal_consolidated,value_usd_thousands_consolidated,consolidation_method,selected_filer_cik,selected_accession,selected_filing_date,shares_outstanding
BlackRock,MSFT,594918104,2019-09-30,21241562,2953214,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-19-000103,2019-11-08,7635409400
BlackRock,MSFT,594918104,2019-12-31,21283878,3356468,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-20-000006,2020-02-13,7628805618
BlackRock,MSFT,594918104,2020-03-31,20882452,3293372,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-20-000038,2020-05-01,7606047010
BlackRock,MSFT,594918104,2020-06-30,20380373,4147610,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-20-000070,2020-08-14,7583440247
BlackRock,MSFT,594918104,2020-09-30,20081492,4223740,MAX_ACROSS_FILER_CIKS,0001364742,0001426459-20-000005,2020-11-06,7567652935
BlackRock,MSFT,594918104,2020-12-31,20104428,4471627,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-21-000004,2021-02-05,7560495969
BlackRock,MSFT,594918104,2021-03-31,19464674,4589186,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-21-000038,2021-05-07,7542215767
BlackRock,MSFT,594918104,2021-06-30,18327969,4965047,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-21-000071,2021-08-11,7531574551
BlackRock,MSFT,594918104,2021-09-30,18237045,5141388,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-21-000104,2021-11-09,7514891248
BlackRock,MSFT,594918104,2021-12-31,17517025,5891326,MAX_ACROSS_FILER_CIKS,0001364742,0000834237-22-008654,2022-02-10,7507980444
BlackRock,MSFT,594918104,2022-03-31,16823061,5186718,MAX_ACROSS_FILER_CIKS,0001364742,0000834237-22-009651,2022-05-12,7496866428
BlackRock,MSFT,594918104,2022-06-30,16098524,4134584,MAX_ACROSS_FILER_CIKS,0001364742,0000834237-22-010526,2022-08-12,7479033135
BlackRock,MSFT,594918104,2022-09-30,15903531,3703932,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-22-000004,2022-11-14,7457891872
BlackRock,MSFT,594918104,2022-12-31,15721614,3770357469,MAX_ACROSS_FILER_CIKS,0001364742,0000913414-23-000035,2023-02-13,7454473144
BlackRock,MSFT,594918104,2023-03-31,15617688,4502579450,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-23-000015,2023-05-12,7443803533
BlackRock,MSFT,594918104,2023-06-30,15358289,5230111736,MAX_ACROSS_FILER_CIKS,0001364742,0001306550-23-009732,2023-08-11,7435487575
BlackRock,MSFT,594918104,2023-09-30,14956364,4722471933,MAX_ACROSS_FILER_CIKS,0001364742,0001306550-23-010335,2023-11-13,7429763722
BlackRock,MSFT,594918104,2023-12-31,15669619,5892403529,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-24-006999,2024-02-13,7432262329
BlackRock,MSFT,594918104,2024-03-31,15468007,6507699905,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-24-007638,2024-05-10,7430436229
BlackRock,MSFT,594918104,2024-06-30,15297863,6837379868,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-24-008417,2024-08-13,7432305794
BlackRock,MSFT,594918104,2024-09-30,15632278,6726569223,MAX_ACROSS_FILER_CIKS,0002012383,0001426459-24-000006,2024-11-13,7433038381
BlackRock,MSFT,594918104,2024-12-31,14869531,6267507317,MAX_ACROSS_FILER_CIKS,0002012383,0001060021-25-000002,2025-02-07,7434880776
BlackRock,MSFT,594918104,2025-03-31,14971088,5619996724,MAX_ACROSS_FILER_CIKS,0002012383,0001576419-25-000869,2025-05-02,7433982235
BlackRock,MSFT,594918104,2025-06-30,16105609,8011090973,MAX_ACROSS_FILER_CIKS,0002012383,0001060021-25-000120,2025-08-12,7432543865
BlackRock,MSFT,594918104,2025-09-30,16612393,8604388954,MAX_ACROSS_FILER_CIKS,0002012383,0002012383-25-002949,2025-11-12,7433166379
